State,HeartDisease_Rate,COPD_Rate,COPD_Cost,Heart_Failure_Cost,COPD_Predicted_Rate,Heart_Failure_Predicted_Rate,COPD_Expected_Rate,Heart_Failure_Expected_Rate,COPD_Excess_Ratio,Heart_Failure_Excess_Ratio
AK,27.7,5.0,16610.59999998182,16814.91016944407,18.730868513853903,18.664526609775017,18.658265743073045,19.087870752521333,1.0038911853749224,0.9778213008546072
AL,83.8,9.4,8025.652398537417,9643.38874225398,17.872372689882095,19.633992204365555,17.901634932821498,19.63468530422963,0.998365387125298,0.9999647002305696
AR,72.8,13.3,7521.35223160386,8912.169380180434,18.326514248328003,19.597350272672188,18.129895405641175,19.35750736214906,1.0108450070057022,1.0123901753483049
AZ,28.1,2.6,8773.520249228453,10827.994526978597,16.737890599853692,19.16829224878328,16.955757461594732,19.116684483252214,0.9871508623407408,1.0026996190461934
CA,30.7,3.3,11831.60924976337,14486.320625134018,19.645774195978007,20.095833916116007,19.21077173307223,19.74424966348507,1.022643674546239,1.0178069189066807
CO,28.6,2.2,10360.3858267063,10798.765909061703,17.65125072463768,17.59589829059829,18.073222266139656,18.82970558947226,0.9766521135363592,0.9344754864588114
CT,92.3,5.0,11154.817819150663,13535.904184473347,18.51091851851852,19.823881643766754,18.342643425076453,19.335564502345846,1.0091739826993538,1.0252548686314105
DC,60.8,8.0,13002.272727076925,15562.930795697925,22.357205263157898,19.649237509727627,21.272566842105263,20.571870894941632,1.0509876607324031,0.9551507303382468
DE,62.3,7.3,9122.795677850096,11539.787047188036,17.95042172774869,18.14399198837692,18.292941492146596,18.91412108758821,0.9812758508769652,0.9592828503293944
FL,82.8,13.3,8508.778213284257,10210.235043767683,18.842650522253667,20.795498042361533,18.60152636480576,20.215305270904786,1.0129626006338983,1.0287006683145072
GA,20.5,12.4,9458.200316272852,11381.349287159052,18.697652447670492,19.708999422993323,18.519659047940586,19.71548486345493,1.0096110516543069,0.9996710483913268
HI,27.4,4.6,13954.806451806451,16125.346253210597,15.020907386363636,17.669617853290184,14.970922727272727,18.445410355987057,1.0033387827859035,0.9579411632636806
IA,54.4,8.1,7649.520874774553,9211.883168293862,17.558761235675135,18.21376636476848,17.619388689586447,18.90325679836975,0.9965590489557028,0.9635253098999992
ID,25.4,6.2,8915.350515518556,10710.15290184386,16.28295863453815,16.087939764705883,17.338577108433736,18.78692639215686,0.939117352750814,0.8563369775815086
IL,27.2,5.6,9236.274339024076,11312.83418044136,19.18866957786272,20.353622339902007,18.92005048196776,20.018633237049873,1.0141975887512025,1.0167338648390911
IN,34.5,3.3,8092.209216105773,9810.823111523208,19.172328740955138,20.081642939380725,18.85825917510854,19.95680162232883,1.016654218341699,1.006255577392332
KS,81.0,6.4,8429.964010264783,9729.170197531346,18.58931253333333,18.84608176562688,18.4985346,19.78741729495363,1.004907304026846,0.9524275697381276
KY,39.8,20.2,7663.723241590444,9191.47150056303,19.685733946587536,19.847235439234048,19.172885677546983,20.335459081696836,1.0267486218645292,0.9759915111578564
LA,33.2,3.9,7758.307236055516,9687.7659402637,17.842263446177252,19.631541884231535,18.331664967668317,19.599558690618764,0.9733029420756802,1.0016318323344742
MA,28.4,2.6,9921.539029201676,12564.208811316434,19.459273354987424,20.120333329285693,18.512533549874263,19.392627306396285,1.0511404774804358,1.037524880532788
MD,62.0,5.2,13687.819563716952,15313.196374654768,19.575929380380742,19.320337943544377,19.829241033102942,20.073967836199184,0.987225348045378,0.9624573527862392
ME,45.8,9.3,9444.381578998024,11930.898496234397,19.245690909090907,17.594591637831602,19.210980213903746,19.36601435986159,1.0018068154149695,0.9085293086582916
MI,36.6,8.0,8726.45999226575,10717.767187201463,20.00892087937385,20.64041844592578,19.688693197513818,20.389865472755613,1.0162645473037526,1.0122881131072172
MN,49.9,5.2,9716.162866452443,11600.503150256593,18.84358835149864,18.086387220149252,18.763404427792917,19.26131791977612,1.0042734208503736,0.939000503261486
MO,66.5,12.4,8086.3433261849395,9946.561197744004,19.101368626421696,19.760945617561493,18.8500134208224,19.96734106321079,1.0133344841718597,0.9896633485151624
MS,33.3,11.2,7628.981699336471,9250.252658900909,18.468616,20.090515870153293,18.503427344827585,19.6929355675784,0.9981186542266552,1.0201889810287834
MT,20.9,6.4,8375.706976739535,9764.495575264822,17.592851559934317,17.098452831652445,17.96512807881773,18.696606826997673,0.9792778255044918,0.9145217091992588
NC,35.7,7.7,8879.30472441449,10730.988836955175,18.448944261279127,19.362641149533655,18.488221393158156,19.526128543048586,0.9978755591982708,0.9916272499612764
ND,31.3,6.9,8382.341463411707,9983.595363562696,19.61354328358209,18.66305762523191,19.84499432835821,20.290270204081633,0.9883370566427736,0.9198033065857156
NE,16.9,0.0,8571.826589595954,10263.82934968827,18.445059980988592,17.86615759688333,18.36980941064639,18.91567106827968,1.0040964262970846,0.9445161914896948
NH,27.3,7.4,8347.550660794714,10663.200000024635,16.62200248138958,18.744862560603337,16.942213151364765,19.037307092835334,0.9810998322878856,0.9846383456018284
NJ,23.0,4.6,10081.751850754012,12586.551638346104,19.25778056033988,19.993699304140677,18.654385922608796,19.711306485283515,1.032345993067495,1.0143264384361328
NM,51.7,4.8,9961.839024330731,10812.376521542348,17.04365994108984,17.450311322081575,17.42242562592047,18.46260404360056,0.978259876496926,0.9451706422816416
NV,22.2,9.5,10597.731764770822,11845.551624838585,18.114966936416184,20.433876569525395,17.87172838150289,19.986100416319733,1.0136102423739295,1.0224043782367884
NY,57.7,8.3,12059.388801079023,14991.233962689996,19.56740129022465,19.991038386328327,19.08017012750455,19.982571018125324,1.0255359967685898,1.000423737675964
OH,80.5,7.7,8863.00234742495,10365.912172141556,18.904025763874458,19.93504060127955,18.767284379546872,19.94148516861852,1.0072861572064526,0.9996768261097668
OK,22.7,16.3,8288.589901459853,9600.877209316372,19.579539931740616,19.57627249294107,19.2385385665529,19.94232518444303,1.017724910029318,0.9816444327270564
OR,37.3,0.0,10644.454258715456,12919.246531982164,18.195395544554454,17.623656452967527,18.865323886138615,18.957845632698767,0.9644889032583006,0.9296233756946513
PA,23.6,5.9,9119.607494452302,11021.68167396246,19.180460867387826,19.5613003397534,18.513307421875,19.586329522545224,1.0360364266800068,0.9987221095834716
RI,31.1,13.4,9961.131805289113,11662.606278066009,20.3756415007657,18.874611594202896,18.55872741194487,19.326840875480627,1.0979007907434115,0.9766009724925372
SC,79.4,2.9,8533.207142864694,10203.300672276924,17.786226335570472,19.47608942799089,17.80407079194631,19.249928785173328,0.9989977316657318,1.0117486482854812
SD,60.7,6.3,8906.066666693334,11063.4509414445,17.041395,16.82262034860154,17.76762,19.12192707742197,0.9591264896480228,0.8797554911954814
TN,34.3,10.5,8483.616968685255,9966.31053296608,18.75453750245435,19.58775166779138,18.47225222854899,19.743135042899837,1.0152815839894762,0.9921297516949144
TX,29.2,5.0,9872.306151130051,11478.469114971856,18.642262029952793,20.00534240149104,18.51418497476803,19.931877973730945,1.0069177798190585,1.00368577551282
UT,16.9,4.4,10825.592232928157,11390.091997042782,16.830002870813395,15.951942966997755,17.816638277511963,18.56385414931112,0.9446228075504068,0.8593012441648445
VA,47.0,9.3,8758.146417453843,10644.301282043887,18.26410869696058,19.39468668158568,18.397963105627447,19.548815326086956,0.9927244984730986,0.99211570410123
VT,12.1,6.6,7418.5119999872,8584.82244556114,19.546497128378377,20.1765677589852,19.696572297297298,18.94006675475687,0.9923806453907964,1.0652849337987564
WA,29.3,3.2,10045.148148142129,11507.35511513669,18.78552133439872,17.582803544392934,18.222013823411903,18.788200727656825,1.0309245463453007,0.9358428621911884
WI,32.7,6.2,8858.610197324342,10681.99561985652,18.511192981530343,18.954906702017972,18.889766332453824,19.560812350861685,0.979958812392874,0.9690245150367172
WV,58.0,14.0,7865.825229937056,9830.967802147505,20.652441064780344,21.56964039649009,20.179358265078186,20.833738852778684,1.023443897149141,1.0353225865463538
WY,32.2,6.5,11634.183783902705,13490.079646055929,15.69666243902439,16.564305487804877,17.127945609756097,18.252962042682928,0.9164357942661584,0.907485889088616
